"Reference","Qty","DNP","Manufacturer","Man. Part Num","Distributor","Dist. Part Num","Value","Description","Package","Part Type","Notes"
"C2,C3","2","","Cal-Chip Electronics, Inc.","GMC21X6S106K6R3NT","Digi-Key","2571-GMC21X6S106K6R3NTTR-ND","10uF","CAP0805 X6S 10UF 10% 6.3V","0805","SMD",""
"C1","1","DNP","Cal-Chip Electronics, Inc.","CHV0603N250330GCT","Digi-Key","4713-CHV0603N250330GCT-ND","33pF","HVCAP0603 COG 33PF 2% 250V","0603","SMD",""
"U1","1","","Texas Instruments","LM337IMPX/NOPB","Mouser","926-LM337IMPX/NOPB","LM337IMPX/NOPB","Linear Voltage Regulators 3-Term Adj Neg Reg A 926-LM337IMP/NOPB","SOT223-4","SMD",""
"R1","1","","YAGEO","RC0603FR-0710KL","Digi-Key","311-10.0KHRCT-ND","10k","RES 10K OHM 1% 1/10W 0603","","SMD",""
